//===== rAthena Script =======================================
//= Quest NPCs related to Ayothaya
//===== By ===================================================
//= Fredzilla, MasterOfMuppets
//===== Version ==============================================
//= 2.6
//===== Compatible With ======================================
//= rAthena Project
//===== Description ==========================================
//= [Official Conversion]
//= Ayothaya Ring Quest
//= Ayothaya Dungeon Quest
//= Tom Yum Goong Quest
//===== Comments =============================================
//= 1.0 First Release, made with infomation from RagnaInfo
//= 1.1 Added anti-novice protection [Lupus]
//= 1.3 Fixed exploit [Lupus]
//= 1.4 Updated, more close to the official. Thanks to birkiczd
//=     Also optimized it again, remove unused global variable [Lupus]
//= 1.5 Removed Duplicates [Silent]
//= 1.6 Moved quests from cities/ to here:
//=     Shrimp, Dungeon, Tom Yum Goong [Evera]
//= 1.7 Updated the Ayothaya Ring quest to the official one [MasterOfMuppets]
//= 1.8 Fixed experience gains to match upcoming rate adjustments. [SinSloth]
//= 1.9 Corrected NPC names to fall within proper restrictions. [L0ne_W0lf]
//= 2.0 Rescripted Tom Yum Goong and Dungeon quest to Aegis [L0ne_W0lf]
//=     10.3 standards.
//= 2.0a Corrected a Typo error ";;". [Samuray22]
//= 2.1 Added missing checkweights. [L0ne_W0lf]
//= 2.2 Replaced effect numerics with constants. [L0ne_W0lf]
//= 2.3 Replaced effect numerics with constants. [Samuray22]
//= 2.4 Updated RE/Pre-RE EXP. [Euphy]
//= 2.5 Added questlog support. [Euphy]
//= 2.6 Added Renewal quest items. [Euphy]
//============================================================

// مهمة خاتم أيوثايا :: ayo_ring
//============================================================
ayothaya,233,105,3	script	شودا::Powerful-Looking Woman	838,2,2,{
	if (thai_find == 14) {
		mes "[شودا]";
		mes "هل";
		mes "وجدت أنون؟";
		next;
		mes "[شودا]";
		mes "ألم";
		mes "تجده بعد؟";
		mes "إذن أين";
		mes "ذهب ذلك الرجل؟!";
		next;
		mes "[شودا]";
		mes "حسنا...";
		mes "لست متأكدة إن كنت أستطيع تصديق كل ما قلته، لكن بما أنك وجدت الخاتم من أجلي، فهذا يكفي. شكرا لمساعدتك.";
		next;
		mes "[شودا]";
		mes "إذا صادفت أنون أثناء رحلاتك، فأخبره أن يعود فورا. يمكنك الآن متابعة مغامراتك~";
		next;
		mes "[شودا]";
		mes "إذا رأيته";
		mes "مرة أخرى...";
		mes "فسوف ^660000أعاقبه^000000...";
		mes "^666666*تطحن أسنانها*^000000";
		close;
	} else if (thai_find > 2 && thai_find < 14) {
		mes "[شودا]";
		mes "^666666*تنهد...*^000000";
		mes "ألم";
		mes "تجد أنون بعد؟";
		mes "فهمت. حسنا، لا بأس.";
		mes "الوقت ليس مشكلة بالنسبة لنا.";
		next;
		mes "[شودا]";
		mes "وعندما أقول 'لنا'، أقصد '^660000أنت^000000.' لا يهمني خططك أو أي شيء آخر في جدولك، لأنك ستخصص";
		mes "وقتا من أجلي! أوهو هو هو هو هو!";
		close;
	} else if (thai_find == 2) {
		if (countitem(7288)) {
			mes "[شودا]";
			mes "آه... أهذا هو...؟!!";
			mes "نعم، هذا هو!";
			mes "خاتم خطوبتي الذي";
			mes "رمى به ذلك الغبي أنون في الماء!";
			next;
			mes "[شودا]";
			mes "شكرا جزيلا لك! تكريما لك، سنسمي أول سبعة أطفال لنا باسمك! أوهو هو هو هو هو هو~";
			next;
			mes "[شودا]";
			mes "والآن...";
			mes "كل ما علي فعله";
			mes "هو العثور على أنون.";
			mes "أين ذهب";
			mes "ذلك الأحمق؟!";
			next;
			mes "[شودا]";
			mes "^666666*أحم*^000000";
			mes "لم... لم أقصد";
			mes "إخافته، كل ما أردته هو";
			mes "استعادة خاتم خطوبتي.";
			next;
			mes "[شودا]";
			mes "^666666*تنهد*^000000";
			mes "أظن أن أيام";
			mes "كوني عروسا سعيدة";
			mes "ما زالت بعيدة عني...";
			next;
			mes "^3355FFتحدق شودا فيك مباشرة";
			mes "بعينين مستعطفتين.^000000";
			next;
			switch(select("لا... كفى هذه النظرة!:حسنا، حسنا.")) {
			case 1:
				mes "[شودا]";
				mes "هيا، أنت تعرف كل ما حدث، وأنا أعلم أنك ستواصل المغامرة";
				mes "حول هذه المنطقة.";
				next;
				mes "[شودا]";
				mes "كل ما طلبته هو أن تبحث عن أنون أثناء تجوالك. أليست خدمة بسيطة؟ شكرا لأنك ستفعل ذلك من أجلي~";
				next;
				mes "[شودا]";
				mes "في هذه الأثناء، سأفكر في العقاب الذي يستحقه أنون لأنه تركني في هذا البؤس! فأسرع واعثر عليه! هوو هو هو هو هو!";
				emotion ET_SMILE;
				next;
				emotion ET_THINK, playerattached();
				mes "["+strcharinfo(0)+"]";
				mes "(إنها مخيفة جدا!";
				mes "تجعلني أفعل أشياء";
				mes "من أجلها مرة أخرى...)";
				next;
				mes "["+strcharinfo(0)+"]";
				mes "(لماذا أنا دائما";
				mes "أفعل أشياء من أجل";
				mes "الآخرين على أي حال؟!)";
				break;
			case 2:
				mes "[شودا]";
				mes "نعم، كنت أعلم أنني أستطيع الاعتماد عليك! إذن اعثر على أنون! إنه قدري أن أجعله ^660000ملكي^000000. هوو هو هو هو هو!";
				next;
				mes "[شودا]";
				mes "لم أره حول القرية منذ فترة. ولا أظن أنه قفز في الماء ليبحث عن خاتمي، فهو جبان أكثر من أن يفعل ذلك. غالبا لا يملك الشجاعة لرؤيتي من دونه.";
				next;
				mes "[شودا]";
				mes "هل يمكنك أن تخبر أنون";
				mes "أنني استعدت خاتمي، وبوسعه العودة إلي الآن؟ لا تنس إبلاغه بذلك، أيها المغامر.";
				break;
			}
			delitem 7288,1; //Thai_Ring
			changequest 12030,12031;
			set thai_find,3;
			close;
		} else {
			mes "[شودا]";
			mes "هاه...؟";
			mes "هل وجدت خاتمي؟";
			mes "أرني، أرنيه لي!";
			next;
			mes "[شودا]";
			mes "ما هذا...";
			mes "لا تملك شيئا!";
			mes "لا تكذب علي،";
			mes "أحضر لي خاتمي!";
			next;
			mes "[شودا]";
			mes "أسرع واعثر";
			mes "على خاتمي. سأنتظر";
			mes "هنا في انتظار الخبر السار.";
			mes "أوهو هو هو هو هو~!";
			if (checkquest(12029) == -1)
				setquest 12029;
			close;
		}
	} else if (thai_find == 1) {
		mes "[شودا]";
		mes "أشعر ببعض السوء وأنا أطلب منك هذا، خاصة لأنك";
		mes "وافد إلى هذه البلاد.";
		next;
		mes "[شودا]";
		mes "لكن ذلك الخاتم مهم جدا بالنسبة لي. إذا تمكنت من العثور عليه من أجلي، سأكون أسعد امرأة في العالم كله.";
		next;
		mes "[شودا]";
		mes "لذلك أتوسل إليك.";
		mes "أعد إلي خاتمي، من فضلك.";
		mes "أريد أن أعيش مع أنون كزوجين سعيدين إلى الأبد. ألا يمكنك فهم ذلك؟!";
		close;
	} else {
		mes "[شودا]";
		mes "اممم...؟";
		mes "آه، لا بد أنك أحد السياح. كنت سأرشدك في الجوار وأستمع إلى قصصك عن العالم الخارجي، لكن...";
		next;
		if (rand(0,1)) {
			mes "[شودا]";
			mes "أنا مشغولة";
			mes "جدا جدا الآن.";
			mes "مشغولة للغاية.";
			next;
			mes "[شودا]";
			mes "هاه...؟";
			mes "أتظن أنني لست مشغولة لمجرد أنني أقف هنا دون حركة؟! يا إلهي، كم أنت وقح!";
			next;
			mes "[شودا]";
			mes "والآن، علي أن أجد";
			mes "خاتم خطوبتي. لو أن";
			mes "خطيبي لم";
			mes "يرمه...";
			next;
			switch(select("ماذا...؟:كذب~!")) {
			case 1:
				mes "[شودا]";
				mes "ماذا تقصد بماذا؟";
				mes "هل ما زلت تظن أنني";
				mes "أقف هنا من أجل";
				mes "تسليتي أو شيء من هذا؟!";
				next;
				emotion ET_KIK, playerattached();
				mes "["+strcharinfo(0)+"]";
				mes "لا لا لا لا...";
				mes "كنت أقصد أنني لا";
				mes "أصدق أنك";
				mes "مخطوبة لشخص ما!";
				next;
				mes "[شودا]";
				mes "وااااااااااه!";
				mes "من... من أنت حتى تقول";
				mes "شيئا وقحا كهذا لسيدة لطيفة مثلي؟ ابتعد، لا أريد التحدث معك!";
				close;
			case 2:
				mes "[شودا]";
				mes "أي كذب؟";
				mes "لن أتحمل هذا الهراء";
				mes "إذا كنت ستقول شيئا مثل 'لا أصدق أنك مخطوبة لشخص ما!'";
				next;
				mes "["+strcharinfo(0)+"]";
				mes "مهلا مهلا مهلا~";
				mes "اهدئي يا سيدتي.";
				mes "اسمعيني أولا.";
				mes "ما أتساءل عنه هو...";
				next;
				mes "[شودا]";
				mes "أعرف، أعرف.";
				mes "أنت تتساءل لماذا";
				mes "أقف قرب الماء، صحيح؟ حسنا، لأن خاتمي رمي هناك ويجب علي";
				mes "استعادته.";
				next;
				mes "[شودا]";
				mes "ما الذي أفعله، أتحدث مع سائح هكذا؟ ^666666*تنهد...*^000000 حسنا، لقد عرفت ما أردت معرفته. آمل أنك راض الآن.";
				next;
				mes "[شودا]";
				mes "...";
				next;
				mes "[شودا]";
				mes "...";
				mes "......";
				next;
				mes "[شودا]";
				mes "...";
				mes "......";
				mes "........مهلا.";
				next;
				mes "[شودا]";
				mes "لماذا تحدق بي؟";
				mes "أليس لديك شيء تفعله؟";
				next;
				switch(select("لا.:لا~ لكنك شخصية مثيرة للاهتمام.")) {
				case 1:
					mes "[شودا]";
					mes "فهمت. هممم...";
					mes "تبدو من النوع الذي يعجبني.";
					if (Sex == SEX_MALE) {
