مسار الملف,المجلد الرئيسي,الحالة,ملاحظة
rathena-master/npc/other/guildpvp.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/gympass.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/hugel_bingo.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/mail.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/marriage.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/mercenary_rent.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/monster_museum.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/monster_race.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/msg_boards.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/poring_war.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/powernpc.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/pvp.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/other/turbo_track.txt,other,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/airports/izlude.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/cities/alberta.txt,pre-re,لم يراجع بالكامل,مزامنة اسم مندوب موسكوفيا فقط
rathena-master/npc/pre-re/cities/brasilis.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/cities/izlude.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/cities/jawaii.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/cities/lutie.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/cities/prontera.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/cities/yuno.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_alberta.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_aldebaran.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_amatsu.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_ayothaya.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_brasilis.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_comodo.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_einbroch.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_geffen.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_gonryun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_hugel.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_izlude.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_juno.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_lighthalzen.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_louyang.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_morroc.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_moscovia.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_niflheim.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_payon.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_prontera.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_rachel.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_umbala.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/guides/guides_veins.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/1-1/acolyte.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/1-1/archer.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
