مسار الملف,المجلد الرئيسي,الحالة,سبب الاستبعاد,مرحلة القرار
rathena-master/npc/mapflag/gvg.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/gvg_noparty.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/hidemobhpbar.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/jail.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/night.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nightmare.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nobranch.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nocostume.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nodynamicnpc.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/noicewall.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nomemo.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nopenalty.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nopvp.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/noreturn.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nosave.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/noskill.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/noteleport.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nowarp.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/nowarpto.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/partylock.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/pvp.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/pvp_noguild.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/pvp_noparty.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/reset.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/restricted.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/skill_damage.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/skill_duration.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
rathena-master/npc/mapflag/town.txt,mapflag,مستبعد,ملف تقني بلا حوار؛ استبعد بناء على توجيه المستخدم,212
