المرحلة,القسم,النطاق,الملفات الأساسية,ملفات المزامنة,الحالة,عدد التعديلات,مجلد التقرير
1,المدن,برونتيرا وإزلود,rathena-master/npc/cities/prontera.txt | rathena-master/npc/cities/izlude.txt,,مكتمل,103,المرحلة_01
2,المدن,غيفن,rathena-master/npc/cities/geffen.txt,,مكتمل,210,المرحلة_02
3,المدن,ألبرتا,rathena-master/npc/cities/alberta.txt,,مكتمل,104,المرحلة_03
4,المدن,موروك,rathena-master/npc/cities/morocc.txt,,مكتمل,274,المرحلة_04
5,المدن,بايون,rathena-master/npc/cities/payon.txt,,مكتمل,424,المرحلة_05
6,المدن,ألديباران,rathena-master/npc/cities/aldebaran.txt,,مكتمل,431,المرحلة_06
7,المدن,كومودو,rathena-master/npc/cities/comodo.txt,,مكتمل,216,المرحلة_07
8,المدن,يونو,rathena-master/npc/cities/yuno.txt,,مكتمل,104,المرحلة_08
9,المدن,إينبروخ,rathena-master/npc/cities/einbroch.txt,,مكتمل,415,المرحلة_09
10,المدن,إينبيخ,rathena-master/npc/cities/einbech.txt,,مكتمل,505,المرحلة_10
11,المدن,هويغل,rathena-master/npc/cities/hugel.txt,,مكتمل,88,المرحلة_11
12,المدن,لايت هالزن,rathena-master/npc/cities/lighthalzen.txt,,مكتمل,454,المرحلة_12
13,المدن,راشيل,rathena-master/npc/cities/rachel.txt,,مكتمل,323,المرحلة_13
14,المدن,فينز,rathena-master/npc/cities/veins.txt,,مكتمل,435,المرحلة_14
15,المدن,أومبالا,rathena-master/npc/cities/umbala.txt,,مكتمل,352,المرحلة_15
16,المدن,نيفلهايم,rathena-master/npc/cities/niflheim.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,98,المرحلة_16
17,المدن,أماتسو,rathena-master/npc/cities/amatsu.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,307,المرحلة_17
18,المدن,كونلون / غونريون,rathena-master/npc/cities/gonryun.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,225,المرحلة_18
19,المدن,لويانغ,rathena-master/npc/cities/louyang.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,93,المرحلة_19
20,المدن,أيوثايا,rathena-master/npc/cities/ayothaya.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,115,المرحلة_20
21,المدن,برازيليس,rathena-master/npc/cities/brasilis.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,58,المرحلة_21
22,المدن,موسكوفيا,rathena-master/npc/cities/moscovia.txt,rathena-master/npc/pre-re/cities/alberta.txt | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,66,المرحلة_22
23,المدن,لوتي,rathena-master/npc/cities/lutie.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,260,المرحلة_23
24,المدن,جاواي,rathena-master/npc/cities/jawaii.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,195,المرحلة_24
25,المدن,مانوك,rathena-master/npc/cities/manuk.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,88,المرحلة_25
26,المدن,سبلينديد,rathena-master/npc/cities/splendide.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,227,المرحلة_26
27,المهام,مهام نيفلهايم,rathena-master/npc/quests/quests_niflheim.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/OngoingQuestInfoList_True_EN.lub,مكتمل,354,المرحلة_27
28,المهام,مهام أومبالا,rathena-master/npc/quests/quests_umbala.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,541,المرحلة_28
