الملف,السطر السابق,السطر الحالي,قبل,بعد,الفئة,السبب
rathena-master/npc/other/gm_npcs.txt,2,2,//= GM Management NPCs,//= شخصيات إدارة المشرفين (GM),تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,10,10,//= Controls the official GM management NPCs in certain scripts.,//= تتحكم في شخصيات إدارة المشرفين الرسمية المستخدمة في بعض السكربتات.,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,12,12,//= 1.0 First version.,//= 1.0 الإصدار الأول.,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,18,18,"	// To disable all GM NPCs, uncomment the line below.",	// لتعطيل جميع شخصيات إدارة GM، أزل التعليق عن السطر أدناه.,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,21,21,"	// To set a minimum GM level to access the NPCs, edit the line below.",	// لتحديد أدنى مستوى GM مسموح له باستخدام هذه الشخصيات، عدّل السطر أدناه.,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,23,23,		// Log the event.,		// سجّل المحاولة.,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,25,25,"		logmes strcharinfo(0)+"" attempted to access GM NPC ""+strnpcinfo(0)+"" (""+.@map$+"",""+.@x+"",""+.@y+"")."";","		logmes strcharinfo(0)+"" حاول الوصول إلى شخصية إدارة GM ""+strnpcinfo(0)+"" (""+.@map$+"",""+.@x+"",""+.@y+"")."";",مراجعة رسالة السجل,تعريب رسالة محاولة الوصول غير المصرح بها مع الحفاظ على المتغيرات وبيانات الخريطة والإحداثيات
rathena-master/npc/other/gm_npcs.txt,31,31,"	// To disable password inputs, uncomment the line below.",	// لتعطيل إدخال كلمات المرور، أزل التعليق عن السطر أدناه.,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,34,34,	// Password return values:,	// قيم الإرجاع لفحص كلمة المرور:,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,35,35,	//  1: correct input,	//  1: الإدخال صحيح,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
