رقم,الملف,النوع,النص قبل,النص بعد,ملاحظة
1,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,//= Guild Battle NPC,//= مرشد معارك النقابات,تغيير نصي فقط؛ لم يتغير منطق السكربت
2,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,//= [Official Conversion],//= [تحويل رسمي],تغيير نصي فقط؛ لم يتغير منطق السكربت
3,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,//= Guild Battle with PVP mechanics.,//= معارك نقابات بآليات لاعب ضد لاعب (PvP).,تغيير نصي فقط؛ لم يتغير منطق السكربت
4,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,//= 1.0 First version. [L0ne_W0lf],//= 1.0 الإصدار الأول. [L0ne_W0lf],تغيير نصي فقط؛ لم يتغير منطق السكربت
5,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,//= 1.1 Optimized. [Euphy],//= 1.1 تحسين الأداء. [Euphy],تغيير نصي فقط؛ لم يتغير منطق السكربت
6,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""كيف حالك؟"";","	mes ""مرحبا، كيف حالك؟"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
7,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""أنا مرشد معركة النقابات"";","	mes ""أنا مرشد معارك النقابات"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
8,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""لخرائط PvP الجديدة."";","	mes ""في خرائط PvP الجديدة."";",تغيير نصي فقط؛ لم يتغير منطق السكربت
9,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""أخبرني إلى أي خريطة"";","	mes ""أخبرني بالخريطة التي"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
10,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""تريد أن أنقلك."";","	mes ""تريد الانتقال إليها."";",تغيير نصي فقط؛ لم يتغير منطق السكربت
11,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""لقد اخترت الخريطة ""+.@i+""."";","	mes ""اخترت الخريطة ""+.@i+""."";",تغيير نصي فقط؛ لم يتغير منطق السكربت
12,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""والآن، في أي فريق"";","	mes ""والآن، إلى أي فريق"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
13,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""أنت؟ يمكنك اختيار"";","	mes ""تنتمي؟ يمكنك اختيار"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
14,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""إما الفريق 1 أو الفريق 2."";","	mes ""الفريق 1 أو الفريق 2."";",تغيير نصي فقط؛ لم يتغير منطق السكربت
15,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""إلى الخريطة ""+.@i+"" كعضو"";","	mes ""إلى الخريطة ""+.@i+"" ضمن"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
16,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""في الفريق ""+.@j+"". هل أنت مستعد"";","	mes ""الفريق ""+.@j+"". هل نبدأ"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
17,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""ليتم نقلك إلى هناك الآن؟"";","	mes ""الانتقال الآن؟"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
18,rathena-master/npc/other/guildpvp.txt,تنقيح لغوي,"	mes ""رائع! استمتع بوقتك~"";","	mes ""رائع! أتمنى لك وقتا ممتعا~"";",تغيير نصي فقط؛ لم يتغير منطق السكربت
